,datetime,datetimeEpoch,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,snow,snowdepth,windspeed,winddir,cloudcover,visibility,solarradiation,solarenergy,uvindex,sunrise,sunriseEpoch,sunset,sunsetEpoch,moonphase,conditions,description,icon,stations,source
16,2020-06-01,1590944400,95.0,75.9,85.4,109.9,75.9,94.4,76.6,77.0,1.0,100.0,66.67,0.0,0.0,12.0,216.4,59.8,5.8,158.1,13.6,5.0,05:29:42,1590964182,18:12:33,1591009953,0.34,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48894099999', '48900099999', 'VVTS']",obs
17,2020-06-02,1591030800,91.5,75.2,81.5,104.0,75.2,86.4,75.9,84.4,1.0,100.0,8.33,0.0,0.0,14.8,228.7,55.3,5.7,119.5,10.4,4.0,05:29:44,1591050584,18:12:50,1591096370,0.37,"Rain, Partially cloudy",Partly cloudy throughout the day with rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
18,2020-06-03,1591117200,94.3,78.4,83.2,103.0,78.4,88.0,76.5,82.8,1.0,100.0,66.67,0.0,0.0,12.8,196.6,50.6,5.7,181.6,15.6,6.0,05:29:47,1591136987,18:13:06,1591182786,0.41,"Rain, Partially cloudy",Becoming cloudy in the afternoon with a chance of rain throughout the day.,rain,"['48894099999', '48900099999', 'VVTS']",obs
19,2020-06-04,1591203600,91.4,77.0,81.8,102.6,77.0,86.8,77.5,87.9,1.0,100.0,4.17,0.0,0.0,10.2,270.6,53.8,5.6,146.0,12.6,5.0,05:29:51,1591223391,18:13:23,1591269203,0.44,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
20,2020-06-05,1591290000,92.2,77.0,83.0,102.9,77.0,89.7,76.8,82.6,1.0,100.0,66.67,0.0,0.0,8.4,221.0,51.5,5.3,212.3,18.3,7.0,05:29:55,1591309795,18:13:39,1591355619,0.48,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48894099999', '48900099999', 'VVTS']",obs
21,2020-06-06,1591376400,89.6,78.8,83.4,103.5,78.8,92.7,77.8,83.7,1.0,100.0,4.17,0.0,0.0,9.0,244.7,50.5,6.2,167.2,14.6,6.0,05:30:00,1591396200,18:13:56,1591442036,0.5,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
22,2020-06-07,1591462800,95.7,79.9,86.1,104.4,79.9,94.9,76.2,74.3,1.0,100.0,4.17,0.0,0.0,11.1,242.6,47.0,5.9,179.8,15.5,6.0,05:30:06,1591482606,18:14:12,1591528452,0.55,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
23,2020-06-08,1591549200,95.0,78.8,87.2,106.4,78.8,97.5,76.8,73.3,1.0,100.0,54.17,0.0,0.0,11.0,252.2,46.5,6.3,230.6,19.9,8.0,05:30:12,1591569012,18:14:29,1591614869,0.58,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48894099999', '48900099999', 'VVTS']",obs
24,2020-06-09,1591635600,93.1,76.6,85.4,104.2,76.6,95.2,77.0,77.4,1.0,100.0,54.17,0.0,0.0,10.8,238.5,52.1,6.1,165.7,14.3,5.0,05:30:19,1591655419,18:14:45,1591701285,0.61,"Rain, Partially cloudy",Partly cloudy throughout the day with a chance of rain throughout the day.,rain,"['48894099999', '48900099999', 'VVTS']",obs
25,2020-06-10,1591722000,89.6,77.0,81.3,103.2,77.0,86.7,77.5,89.0,1.0,100.0,4.17,0.0,0.0,14.5,233.0,63.3,5.0,111.4,9.6,4.0,05:30:27,1591741827,18:15:01,1591787701,0.64,"Rain, Partially cloudy",Partly cloudy throughout the day with late afternoon rain.,rain,"['48894099999', '48900099999', 'VVTS']",obs
